airline_name,avg_seat_comfort,avg_cabin_staff_service,avg_food_beverages,avg_ground_service,avg_inflight_entertainment,avg_wifi_connectivity,avg_value_for_money
Air Costa,5,4,3,4,2,1,5
UP by El Al,2,2.25,2,2.5,2,1,2.5
Iraqi Airways,3,2.75,2.75,2.5,2.75,1,3
Asiana Airlines,3.643286180058898,4.029728729310984,3.8198227586206897,3.65,2.96,1.57,3.83
Air Tahiti Nui,2.46130732015145,2.996889640949711,2.605181379310344,1.63,2.25,1.11,2.4
Wingo,1.9132668183730446,2.0617293446334743,2.1704639498432603,1.4090909090909092,1.7727272727272727,1,1.4545454545454546
Nordic Regional Airlines,3,3,2,4,2,1,3
Wizz Air,1.8856536600757254,2.164593093966474,2.086615862068964,1.74,1.68,1.04,1.77
Shenzhen Airlines,2.7173983813129805,3.0164039070231246,2.514888341543515,1.5952380952380953,1.880952380952381,1,2.7717613985200518
T'Way Air,2.5236748001682794,3.2409884899441237,2.509535632183908,2.4,1.8666666666666667,1,2.6
Buddha Air,2.4454820001202,3.124515588055327,2.205364532019704,2,1.7857142857142858,1,2.2142857142857144
Seaborne Airlines,1.7236748001682793,2.440988489944124,2.3464413793103445,1.4,2,1,1.3333333333333333
Air Madagascar,2.5643612146162638,2.8378324784516953,2.38776354679803,1.5,1.7142857142857142,1,2.180731573335056
TransNusa,1,2,2.5535862068965516,4,2,1,3
Shanghai Airlines,2.718001361426631,2.9796311964230062,2.5625057471264334,1.3055555555555556,1.7916666666666667,1,2.9063308954736238
Peach Aviation,2.6324498667788534,3.0619348527312145,2.659831034482759,2.066666666666667,1.7,1,2.816666666666667
Norwegian,2.6798585401766934,2.8530379144413303,2.486793103448274,2.17,2.22,1.7,2.38
Kuwait Airways,2.792367480016828,2.6874321823277456,2.8242868965517234,2.29,2.44,1.34,2.49
Karthago Airlines,2.618374000841398,2.871609116387289,2.553586206896553,1,2,1,2.420687151037513
Air India Express,2.19584115400796,2.577873548023195,2.2671750663129964,1.858974358974359,1.7307692307692308,1.0512820512820513,2.3539656302379672
SA Express,2.071613378207826,2.312155770597948,2.063103448275863,1.2,1.6888888888888889,1,1.8457885345195915
Air Corsica,3.085512200252419,3.5614827349161864,2.72143448275862,2.7,1.7,1,3.3
Air Cairo,2.346794428751728,2.615344810654419,2.483423645320197,1.9285714285714286,1.8571428571428572,1,2.5966781917471806
Cathay Pacific Airways,3.031837400084139,3.0571609116387277,2.754109655172412,2.76,3.22,1.72,2.57
Blue Panorama Airlines,1.8176678285954686,2.053474546182494,2.0847014778325126,1.3142857142857143,1.8,1,1.6700332827091477
Virgin America,3.1409187000420697,2.9735804558193637,2.7817889655172405,2.54,2.99,1.77,2.84
Jetblue Airways,2.018021140092553,2.155877002802601,2.0060758620689647,1.44,2.03,1.63,1.32
AirAsia India,2.767491060159864,3.113037914441329,2.5966158620689628,2.36,1.95,1.09,2.41
Dynamic International Airways,2,2,2.5535862068965516,2,2,1,1
Air Rarotonga,5,5,4.5,5,2,1,4.5
Flair Airlines,1.6480211400925533,1.9120252762942196,2.037864827586205,1.44,1.7,1.07,1.52
Badr Airlines,3,5,5,2,2,1,4
TAAG Angola Airlines,2.607374774383539,2.4548794778939023,2.465441601779754,1.8225806451612903,1.967741935483871,1.0483870967741935,2.7429110331190585
TransAsia Airways,2.618374000841397,2.871609116387287,2.553586206896551,1,2,1,3.5574756842343365
Garuda Indonesia,3.9709187000420694,4.1935804558193635,3.7108944827586203,4.06,2.64,1.53,3.88
Tame Línea Aérea Del Ecuador,1.9363956668068996,2.3119348527312145,1.7217298850574714,1.75,1.6666666666666667,1.0833333333333333,1.5
Utair Aviation,2.4091870004206983,2.3358045581936433,2.2321517241379305,1.5,1.6,1,2.8
Pobeda Airlines,1.8282498948254104,2.1639382815348354,2.3491669691470065,1.5526315789473684,1.9210526315789473,1,2.026315789473684
JC International Airlines,2.618374000841397,2.8716091163872877,2.5535862068965516,1,2,1,1
Sky Airline,2.426407837009436,2.73358665024891,2.4978212526389876,1.7142857142857142,1.7346938775510203,1.0204081632653061,2.324537342645722
Ultra Air,3.6666666666666665,3,2.0357241379310342,3.6666666666666665,1.6666666666666667,1,3.6666666666666665
Air China,2.60091870004207,2.8910126381471106,2.3319662068965514,2.21,2.08,1.02,2.69
HOP!,3.1244903077570307,4.2978160858759455,3.273352785145889,3,2,1,3.076923076923077
Estonian Air,2.926999273339199,3.0884429937362103,2.584426332288403,1.1818181818181819,1.9772727272727273,1,2.907400629228272
Qazaq Air,3.5,5,3.776793103448276,4,2,1,5
Meridiana,2.6416959402608327,2.890198826080058,2.530362758620688,1.53,1.81,1,2.58
Maya Island Air,1.5,1,2.5535862068965516,1,2,1,1
Corendon Airlines,2.548981149133093,2.565695750643833,2.3936258253851808,1.8936170212765957,1.872340425531915,1,2.5085602082902203
Nile Air,3,4,4,3,2,1,5
Canadian North,3.2104994290522266,3.212348066507021,3.030620689655172,2,2,1,2.829237082754387
Openskies,2.176895569722663,2.478786868041798,2.1098992042440323,1.2615384615384615,1.6923076923076923,1.0307692307692307,2.2153846153846155
Grand Cru Airlines,5,5,5,5,2,1,5
TAM Airlines,2.9,2.94,2.5810717241379315,1.7,2.49,1.01,2.86
VLM Airlines,2.7685507398803773,3.081216821127801,2.7108050974512765,1.3695652173913044,2,1,2.7563211156240492
Europe Airpost,4,4,4,1,3,1,5
Air Djibouti,4,4,2.276793103448276,4,2.5,1,3
Lynx Air,1.8856536600757254,2.0284448204748555,2.056438620689653,1.44,1.72,1.07,1.59
Cyprus Airways,2.4066814548514173,2.8624033150499226,2.1298808777429463,1.5454545454545454,1.8181818181818181,1,1.9090909090909092
Sichuan Airlines,2.9521884900363164,3.085765869988203,2.7430809289232934,1.9591836734693877,1.9183673469387754,1.0816326530612246,3.0848602910967604
Iberia,2.3018374000841395,2.454593093966474,2.3748268965517227,1.94,2.47,1.35,1.95
Air Tanzania,2.3118374000841397,2.487160911638729,2.3991137931034485,1.45,1.9,1,1.55
Jet Airways,2.1003886201093813,2.3633091851303476,2.006253103448276,1.6,1.89,1.14,1.83
French Bee,2.4946995854582017,2.6322497810668968,2.430317914213624,1.9146341463414633,2.573170731707317,1.5365853658536586,2.1951219512195124
TUIfly Nordic,1,4,4,2,2,1,1
Norse Atlantic Airways,2.9381315088309754,3.2190602888692834,2.383462794918331,2.175438596491228,2.56140350877193,1.1403508771929824,2.543859649122807
Caribbean Airlines,2.8016959402608337,3.0801988260800575,2.7948268965517244,1.74,2.09,1.14,2.534511648948202
Novair,2.618374000841397,2.8716091163872877,2.5535862068965516,1,2,1,1
LIAT,2.391837400084139,2.1371609116387282,1.4703627586206895,1.36,1.12,1,1.6745116489482017
